"wavelength","k"
260.3,7732.91229119175
260.77,7797.00287753653
261.24,7802.53372697035
261.71,7936.61945513658
262.17,7910.9084793901
262.64,7922.15703127919
263.11,7797.8997720393
263.58,8099.74214283045
264.05,8092.49224559961
264.52,8288.80002989647
264.99,8379.87219253335
265.46,8473.29870324003
265.92,8538.88411375612
266.39,8806.86871706715
266.86,9010.46376919914
267.33,9236.18221906647
267.8,9389.17747299974
268.27,9549.16102993385
268.74,9855.78683807316
269.2,10031.466048806
269.67,10275.9819126275
270.14,10509.9966366456
270.61,10771.1424193729
271.08,10877.2749355357
271.55,11076.0491797152
272.01,11487.1258268246
272.48,11606.4875369035
272.95,11970.2903695953
273.42,12170.3725849247
273.89,12461.8259277252
274.36,12743.8992488508
274.82,12926.6415037931
275.29,13223.027766359
275.76,13540.0052318846
276.23,13782.5404536791
276.7,14149.4076759221
277.16,14423.9695055869
277.63,14748.7200568033
278.1,15143.8768264883
278.57,15594.0431256773
279.04,16071.1910011585
279.5,16491.7597817557
279.97,16904.7049590792
280.44,17166.3739302665
280.91,17682.7609402444
281.38,18099.8916252476
281.84,18725.6250233566
282.31,19177.7719645727
282.78,19675.6605254307
283.25,20122.1271347958
283.72,20555.925109309
284.18,21146.4927687881
284.65,21689.9360962667
285.12,22060.0919316865
285.59,22551.1790425651
286.05,23173.2874920587
286.52,23635.8608318696
286.99,24204.0061287791
287.46,24632.4974774842
287.92,25352.1805747599
288.39,25864.0083710154
288.86,26271.9832579693
289.33,26870.4734855563
289.79,27568.743226578
290.26,27795.7322769909
290.73,28041.3318883366
291.2,28382.6376172503
291.66,28584.7004746067
292.13,28875.7801113644
292.6,28640.4200455921
293.07,29402.7430023543
293.53,28939.7959565006
294,28996.8982398445
294.47,28741.5075301768
294.93,28683.76994656
295.4,27875.3690347173
295.87,27820.733211256
296.34,27222.9530251504
296.8,26806.3081580029
297.27,26064.2774393662
297.74,25468.1789304533
298.2,24932.1723532269
298.67,24197.3915318211
299.14,23585.2610336709
299.6,22662.1697372847
300.07,21988.7514481109
300.54,21197.5410142382
301.01,20498.0006726709
301.47,19632.5722186928
301.94,18902.163757988
302.41,18043.3872715722
302.87,17418.6255091745
303.34,16673.7546246123
303.81,15904.9665533092
304.27,15225.5315968459
304.74,14559.7369109459
305.21,13936.6568257409
305.67,13289.7716656078
306.14,12777.3459396838
306.61,12211.4055084271
307.07,11680.6681864046
307.54,11156.9191673829
308.01,10635.1507903883
308.47,10182.3685488994
308.94,9842.25867932284
309.4,9453.26805934452
309.87,9074.06853768826
310.34,8786.38962592025
310.8,8510.40771329272
311.27,8251.46679621809
311.74,8052.01988116148
312.2,7845.77151612542
312.67,7700.6614596958
313.13,7478.68007025674
313.6,7390.48544414963
