"wavelength","k"
260.3,10557.5320452932
260.77,10795.2838297395
261.24,10887.8134459434
261.71,10659.7406480063
262.17,11017.5641840129
262.64,11302.1039650211
263.11,11113.1208191636
263.58,11333.4952726185
264.05,11324.5263275907
264.52,11768.900183116
264.99,11736.4998692029
265.46,11708.2850629695
265.92,12002.0180126313
266.39,12465.226652715
266.86,12521.5815239732
267.33,12688.4039014911
267.8,13098.8826189319
268.27,13148.7723756493
268.74,13560.2227288015
269.2,13806.9434582757
269.67,14035.4647034643
270.14,14584.9994394409
270.61,14751.4481109159
271.08,15013.3039351246
271.55,15326.6190814305
272.01,15597.4438506671
272.48,15935.610448821
272.95,16231.361411114
273.42,16599.6487163197
273.89,16871.7440861019
274.36,17443.4022198139
274.82,17551.6274898165
275.29,17890.0183115961
275.76,18222.6540603162
276.23,18764.7894166449
276.7,19296.0872977316
277.16,19596.2106207257
277.63,20168.2424604806
278.1,20513.3226204268
278.57,21399.9402070331
279.04,21616.5028588512
279.5,22142.8678201726
279.97,22782.2041182406
280.44,23328.524982249
280.91,23655.5925109309
281.38,24591.9130012332
281.84,25427.7813072237
282.31,25671.6618707724
282.78,26141.1114017714
283.25,26995.7397511118
283.72,27178.482006054
284.18,28028.2148062334
284.65,28791.2851750813
285.12,28732.6133263575
285.59,29677.5290556448
286.05,29807.8777233828
286.52,30997.1224634702
286.99,31364.1765387346
287.46,31841.7354908629
287.92,32749.2806158675
288.39,33427.9307896409
288.86,33042.2287828394
289.33,33432.6768563848
289.79,34550.0579244366
290.26,34454.650771703
290.73,34586.2326693823
291.2,34531.4099928996
291.66,34795.881759408
292.13,34552.4496431107
292.6,33978.5492731417
293.07,34894.6522665272
293.53,34301.0949587055
294,34383.534511753
294.47,33735.4908628873
294.93,33284.4650397997
295.4,32419.7839979072
295.87,32574.6477820546
296.34,31608.804514369
296.8,30982.3237041743
297.27,30669.6812287455
297.74,29716.1702604731
298.2,28610.1872267275
298.67,28175.82869315
299.14,27009.7163571135
299.6,26086.4382077058
300.07,25307.2984790164
300.54,24628.4240816174
301.01,23575.2457117232
301.47,22701.9694308457
301.94,22044.1346836578
302.41,21302.0665944168
302.87,20326.6564520348
303.34,19627.714040136
303.81,18730.7821667476
304.27,18039.7249523525
304.74,17432.5273739676
305.21,16715.9834074517
305.67,16067.1176052917
306.14,15542.9948802272
306.61,14785.4553608132
307.07,14306.850031765
307.54,13750.7754400389
308.01,13185.2460854292
308.47,12800.8146791734
308.94,12308.9054150006
309.4,12030.1207070518
309.87,11580.6644493441
310.34,11293.7703202661
310.8,10982.9216338428
311.27,10765.1631226877
311.74,10435.7412459359
312.2,10231.2492993012
312.67,10063.6047684891
313.13,9891.02731791173
313.6,9606.30068388206
314.07,9557.60678650174
314.53,9406.14372734407
315,9177.32351732127
315.47,9120.3333457902
315.93,8999.43944093576
316.4,8953.02515041668
316.86,8808.66250607272
317.33,8734.36974475878
317.8,8570.46227437498
318.26,8463.05915766658
318.73,8434.50801599462
319.19,8316.23005343996
319.66,8330.54299488023
320.13,8164.31854703091
320.59,8106.95466945701
321.06,8050.26346276019
321.52,8060.24141410366
321.99,7931.08860570275
322.45,7930.1169699914
322.92,7872.60361000037
323.39,7813.07223737808
323.85,7748.64531559475
324.32,7724.24231099817
324.78,7616.20389401697
325.25,7629.24623491162
325.71,7578.16061885721
326.18,7551.96382525505
326.64,7534.02593519937
327.11,7412.68358309354
327.58,7291.22911917486
328.04,7197.24204940394
328.51,7169.32620800478
328.97,7061.21304981502
329.44,6948.12960125565
329.9,6837.77420680892
330.37,6712.24634702343
330.83,6689.97346687096
331.3,6512.08939048544
331.76,6433.34952726185
332.23,6266.1160730969
332.69,6097.46253596921
333.16,5930.97649388991
333.62,5778.24283418663
334.09,5614.70906984566
334.56,5385.77674801002
335.02,5277.81307223738
335.49,5146.26854516237
335.95,4995.14182144325
336.42,4691.80462648081
336.88,4604.43215366792
337.35,4491.01236967002
337.81,4364.2512799432
338.28,4264.62124892559
338.74,4108.86057027542
339.2,3947.38218917
339.67,3878.05971822564
340.13,3685.97481221271
340.6,3595.61269105721
341.06,3442.094248664
341.53,3384.09507081729
341.99,3277.3272543817
342.46,3165.96285361934
342.92,3097.27568294779
343.39,2944.65413505736
343.85,2932.32183564408
344.32,2822.45225905303
344.78,2845.92099854255
345.25,2755.85784222131
345.71,2745.46881423073
346.17,2650.77170297844
346.64,2561.75492357712
347.1,2552.5243843193
347.57,2502.11143914197
348.03,2367.61463432864
348.5,2302.47767106394
348.96,2245.4127583243
349.43,2252.28894951231
349.89,2261.29526514444
350.35,2140.77506633282
350.82,2195.26140737696
351.28,2081.61739975335
351.75,2131.95560372211
352.21,2054.336858627
352.67,2040.28551141672
353.14,2032.47505512164
353.6,1981.91262752719
354.07,1997.45879890878
354.53,1874.32265779738
355,1836.69045928473
355.46,1849.65805897081
355.92,1908.47939011174
356.39,1771.10504876864
356.85,1870.84719159909
357.31,1724.72812885384
357.78,1690.64613774805
358.24,1706.2670503382
358.71,1626.44343959042
359.17,1625.6212862962
359.63,1607.23494898913
360.1,1617.36238274973
360.56,1549.57210658096
361.03,1528.98090362121
361.49,1570.53701558354
361.95,1541.23846182593
362.42,1523.67427781307
362.88,1453.26805934452
363.34,1451.17530550469
363.81,1485.25729661049
364.27,1432.49000336335
364.73,1445.79393848799
365.2,1457.4161964199
365.66,1502.85885122762
366.12,1436.22706379162
366.59,1396.35262902201
367.05,1370.90324750551
367.51,1454.65077170298
367.98,1424.67954706828
368.44,1380.28326918046
368.9,1371.98699502971
369.37,1388.46743151837
369.83,1390.03699689824
370.29,1378.41473896633
370.76,1392.31660375948
371.22,1355.13285249823
371.68,1375.42509062372
372.15,1351.88160992563
372.61,1376.80780298217
373.07,1371.83751261258
373.54,1365.7461041145
374,1399.30490676034
374.46,1375.57457304085
374.92,1351.43316267424
375.39,1362.00904368624
375.85,1393.43772188796
376.31,1358.72043050936
376.78,1381.85283456033
377.24,1331.81359542584
377.7,1396.76370566912
378.16,1435.14331626742
378.63,1396.76370566912
379.09,1444.41122612953
379.55,1399.30490676034
380.01,1444.74756156807
380.48,1399.11805373893
380.94,1391.08337381815
381.4,1406.74165701259
381.87,1432.11629732053
382.33,1436.04021077021
382.79,1417.99020890168
383.25,1476.66205762547
383.72,1478.56795844389
384.18,1413.91681303487
384.64,1472.14021450727
385.1,1486.60263836466
385.56,1458.76153817407
386.03,1475.61568070556
386.49,1495.75843641392
386.95,1535.63287118353
387.41,1498.18752569229
387.88,1505.13845808887
388.34,1557.49467468889
388.8,1530.69995141821
389.26,1534.54912365933
389.72,1589.22231772488
390.19,1518.66661683919
390.65,1525.72966104862
391.11,1545.05026346276
391.57,1532.49374042378
392.04,1558.87738704735
392.5,1590.45554766621
392.96,1571.2844276692
393.42,1529.13038603834
393.88,1585.89633394372
394.34,1541.83639149445
394.81,1574.31144661609
395.27,1617.17552972832
395.73,1616.46548824695
396.19,1570.42490377069
396.65,1562.91341230988
397.12,1587.35378751074
397.58,1556.56040958182
398.04,1520.57251765761
398.5,1572.62976942337
398.96,1487.23793863747
399.42,1502.4851451848
399.89,1515.26589184947
400.35,1422.99786987556
400.81,1469.59901341605
401.27,1437.5724055458
401.73,1429.05190776935
402.19,1406.92851003401
402.65,1437.68451735865
403.12,1369.67001756418
403.58,1387.68264882843
404.04,1302.88874771105
404.5,1282.74599200269
404.96,1278.56048432303
405.42,1258.7914346575
405.88,1187.48832168616
406.34,1248.92559512687
406.81,1193.84132441422
407.27,1205.46358234613
407.73,1202.36182219066
408.19,1205.79991778467
408.65,1089.09152060989
409.11,1154.49007810456
409.57,1144.66160917822
410.03,1062.93209761202
410.49,1110.28065323816
410.96,1124.70570649127
411.42,1093.27702828955
411.88,1049.85238611308
412.34,1032.43768451736
412.8,1010.50113980343
413.26,997.1972046788
413.72,1022.49710377817
414.18,971.560970140887
414.64,1023.24451586382
415.1,1050.74928061587
415.56,1014.8735005045
416.02,975.783848424829
416.48,996.599275010277
416.95,972.15889980941
417.41,1005.90455547666
417.87,995.366045068949
418.33,961.209312754587
418.79,941.141298254792
419.25,986.023393998281
419.71,942.038192757577
420.17,987.929294816697
420.63,933.741918606824
421.09,997.869875555888
421.55,935.049889756717
422.01,1014.013976606
422.47,1003.28861317687
422.93,988.153518442393
423.39,956.612728427819
423.85,1040.88344108524
424.31,995.067080234688
424.77,1005.26925520386
425.23,993.385403041967
425.69,1063.64213909339
426.15,1003.36335438544
426.61,1010.575881012
427.07,1067.64079375164
427.53,1004.78343734818
427.99,1018.87215516275
428.45,1043.9852012407
428.91,1061.10093800217
429.37,1085.31708957734
429.83,1017.22784857431
430.29,1114.27930789641
430.75,1142.60622594267
431.21,1071.82630143129
431.67,1150.7530176763
432.13,1148.84711685788
432.59,1147.91285175081
433.05,1104.03976232296
433.51,1158.63821517994
433.97,1128.55487873239
434.43,1156.80705557009
434.89,1177.17403490414
435.35,1148.73500504503
435.81,1219.66441197354
436.27,1179.60312418252
436.73,1203.07186367204
437.19,1216.89898725662
437.65,1185.02186180351
438.11,1172.87641541164
438.57,1230.98770507119
439.03,1252.66265555514
439.48,1269.03098023095
439.94,1240.29298553758
440.4,1285.77301094959
440.86,1265.4807728241
441.32,1243.58159871445
441.78,1277.3272543817
442.24,1325.08688665496
442.7,1273.62756455772
443.16,1299.26379909563
443.62,1328.82394708322
444.08,1346.53761351321
444.54,1357.82353600658
444.99,1383.42239994021
445.45,1413.09465974065
445.91,1404.31256773422
446.37,1358.57094809223
446.83,1423.74528196121
447.29,1435.06857505886
447.75,1409.50708172951
448.21,1439.25408273852
448.67,1497.21588998094
449.12,1491.87189356852
449.58,1506.85750588587
450.04,1505.84849957024
450.5,1516.83545722934
450.96,1576.8900183116
451.42,1582.64509137113
451.88,1618.9319481296
452.34,1599.3123808812
452.79,1584.32676856385
453.25,1569.30378564221
453.71,1639.26155685937
454.17,1644.23184722897
454.63,1695.20535147053
455.09,1690.57139653948
455.55,1658.32056504354
456,1752.27026421017
456.46,1727.08247692365
456.92,1716.46922530737
457.38,1740.94697111252
457.84,1807.31716431855
458.3,1770.5444897044
458.75,1759.25856721103
459.21,1843.34242684704
459.67,1828.16996150828
460.13,1805.52337531298
460.59,1857.31903284876
461.04,1868.15650809074
461.5,1877.87286520423
461.96,1856.04843230315
462.42,1905.56448297769
462.88,1925.55775626892
463.33,1875.18218169588
463.79,1952.61407376957
464.25,1928.95848125864
464.71,1979.5209088531
465.17,1956.0147987593
465.62,1997.30931649165
466.08,2036.77267461415
466.54,2012.96759968609
467,2055.94379461116
467.46,2050.18872155163
467.91,2050.41294517732
468.37,2096.97671811353
468.83,2105.94566314137
469.29,2170.22310250757
469.74,2110.31802384245
470.2,2187.86202772899
470.66,2162.22579319108
471.12,2190.32848761164
471.57,2246.12279980567
472.03,2260.24888822452
472.49,2268.50779177099
472.95,2235.99536604507
473.4,2306.73791995217
473.86,2314.92208229007
474.32,2306.28947270077
474.78,2359.57995440786
475.23,2347.50924922456
475.69,2421.24145147427
476.15,2387.42105459845
476.6,2403.00459658433
477.06,2452.70750028028
477.52,2440.48731267985
477.98,2498.71071415225
478.43,2509.54818939422
478.89,2558.57842221309
479.35,2559.28846369446
479.8,2524.19746627303
480.26,2533.46537613513
480.72,2560.03587578011
481.18,2614.74644044994
481.63,2608.72977316043
482.09,2557.34519227176
482.55,2655.36828730521
483,2676.2958257035
483.46,2690.12294928809
483.92,2674.68888971935
484.37,2706.90235061101
484.83,2729.66104861916
485.29,2729.39945438918
485.74,2714.97440113607
486.2,2749.13113345043
486.66,2771.59086662431
487.11,2785.11902537464
487.57,2771.06767816436
488.03,2833.85029335924
488.48,2844.9493628312
488.94,2849.91965320079
489.4,2893.045330543
489.85,2943.7198699503
490.31,2950.85765536829
490.77,2922.86707276057
491.22,2962.96573115587
491.68,2965.2827086214
492.13,2984.82753466124
492.59,2969.95403415673
493.05,3031.72764303599
493.5,3056.09327702829
493.96,3006.61459695803
494.42,3014.16345902313
494.87,3043.87308942786
495.33,3082.14058821331
495.78,3076.1239209238
496.24,3063.67950969767
496.7,3071.34048357562
497.15,3130.19918532083
497.61,3143.91419709257
498.06,3091.96905713965
498.52,3070.92940692851
498.98,3125.67734220262
499.43,3147.31492208229
499.89,3142.64359654696
500.34,3192.57072386861
500.8,3159.75933330842
501.25,3197.3167906125
501.71,3192.08490601293
502.17,3191.9354235958
502.62,3193.24339474569
503.08,3233.19257072387
503.53,3211.96606749131
503.99,3186.92776262192
504.44,3228.63335700138
504.9,3241.18988004036
505.36,3230.65136963265
505.81,3219.85126499496
506.27,3220.86027131059
506.72,3277.43936619455
