sampleid,solute,concentration,volume,pH,TpH,conductivity,Tconductivity
H01AA,EBT,100,1000,5.881,19,34.6,19.1
H01AB,EBT,50,500,5.908,19.1,18.56,19.4
H01AC,EBT,20,250,5.901,19,9.37,19.3
H01AD,EBT,10,500,6.254,18.9,6.17,18.9
H01AE,EBT,5,200,6.096,19,5.34,19.2
H01AF,EBT,2,250,6.169,18.9,3.44,19.2
H02AA,MB,100,1000,5.993,18.7,10.12,19.2
H02AB,MB,50,500,5.847,18.9,7.31,19.0
H02AC,MB,20,250,6.078,19.1,4.52,19.2
H02AD,MB,10,500,5.938,18.9,3.67,19.0
H02AE,MB,5,200,5.866,18.9,3.08,19.0
H02AF,MB,2,250,5.812,18.9,2.46,19.3
H02AG,MB,1,250,5.964,18.7,1.72,19.4
H02AH,MB,0.5,200,6.145,18.9,1.86,19.0
H03AA,MO,100,1000,,,10.45,22
H03AB,MO,50,500,,,6.99,22.2
H03AC,MO,20,250,,,4.49,22.3
H03AD,MO,10,500,,,4.53,22.1
H03AE,MO,5,200,,,4.63,21.7
H03AF,MO,2,250,,,3.22,22.7
,DI water,0,NA,6.024,NA,2.35,NA

